,Planet Name,Host Star of Planet,Num Stars,Num Planets,Discovery Method,Discovery Year,Discovery Facility,Orbital Period in Days,Orbit Semi-Major Axis,Mass,Eccentricity,Spectral Type,Stellar Effective Temperature,Stellar Radius,Stellar Mass,Stellar Metallicity,Stellar Metallicity Ratio,Stellar Surface Gravity,Distance,Gaia Magnitude
660,HD 17674 b,HD 17674,1,1,Radial Velocity,2017,Haute-Provence Observatory,623.8,1.42,276.5121,0.13,G0 V,5904.0,1.18,0.98,-0.16,[Fe/H],4.34,44.4264,7.40113
661,HD 176986 b,HD 176986,1,2,Radial Velocity,2017,Multiple Observatories,6.4898,0.06296,5.74,0.066,K2.5 V,4931.0,0.78,0.79,0.03,[Fe/H],4.44,27.7843,8.14249
662,HD 176986 c,HD 176986,1,2,Radial Velocity,2017,Multiple Observatories,16.8191,0.11878,9.18,0.111,K2.5 V,4931.0,0.78,0.79,0.03,[Fe/H],4.44,27.7843,8.14249
674,HD 181234 b,HD 181234,1,1,Radial Velocity,2019,La Silla Observatory,7462.0575,7.52,2660.2371,0.73,G5,5386.0,1.05,1.01,0.32,[Fe/H],4.25,47.7458,8.36926
696,HD 190984 b,HD 190984,1,1,Radial Velocity,2009,La Silla Observatory,4885.0,5.5,985.2,0.57,F8 V,5988.0,1.53,0.91,-0.48,[Fe/H],4.02,148.187,8.61126
707,HD 196067 b,HD 196067,2,1,Radial Velocity,2012,La Silla Observatory,3638.0,5.02,2192.9,0.66,G1 V,6017.0,1.73,1.29,0.18,[Fe/H],4.24,39.9346,6.33009
715,HD 202206 c,HD 202206,2,1,Radial Velocity,2004,La Silla Observatory,1260.0,2.41,5689.157,0.22,G6 V,5766.0,1.04,1.07,0.3,[Fe/H],4.5,45.9665,7.91051
716,HD 202696 b,HD 202696,1,2,Radial Velocity,2019,W. M. Keck Observatory,517.8,1.566,634.38868,0.011,K0 III-IV,5040.0,6.43,1.91,0.02,[Fe/H],3.11,188.546,7.95929
717,HD 202696 c,HD 202696,1,2,Radial Velocity,2019,W. M. Keck Observatory,946.6,2.342,592.43512,0.028,K0 III-IV,5040.0,6.43,1.91,0.02,[Fe/H],3.11,188.546,7.95929
735,HD 207897 b,HD 207897,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),16.202159,0.1163,14.4,0.047,K0 V,5070.0,0.78,0.8,-0.042,[Fe/H],4.56,28.2938,8.13037
741,HD 208527 b,HD 208527,1,1,Radial Velocity,2012,Bohyunsan Optical Astronomical Observatory,875.5,2.1,3146.4,0.08,M1 III,4035.0,51.1,1.6,-0.09,[Fe/H],1.4,312.202,5.61607
743,HD 208897 b,HD 208897,1,1,Radial Velocity,2017,Multiple Observatories,352.7,1.05,444.962,0.07,K0,4860.0,4.98,1.25,0.21,[Fe/H],3.13,67.4872,6.23739
748,HD 211403 b,HD 211403,1,1,Radial Velocity,2021,Haute-Provence Observatory,223.8,0.768,1760.76937,0.084,F7 V,6273.0,1.21,1.2,0.18,[Fe/H],4.3,83.0919,8.34865
755,HD 213885 b,HD 213885,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),1.008035,0.02012,8.83,0.0,G,5978.0,1.1,1.07,-0.04,[Fe/H],4.38,48.0883,7.80173
756,HD 213885 c,HD 213885,1,2,Radial Velocity,2019,Multiple Observatories,4.78503,0.056798,19.95,0.0,G,5978.0,1.1,1.07,-0.04,[Fe/H],4.38,48.0883,7.80173
759,HD 215152 b,HD 215152,1,4,Radial Velocity,2018,La Silla Observatory,5.75999,0.057638,1.819,0.0,K3 V,4935.0,0.73,0.77,-0.1,[Fe/H],4.4,21.5974,7.80163
760,HD 215152 c,HD 215152,1,4,Radial Velocity,2018,La Silla Observatory,7.28243,0.067393,1.72,0.0,K3 V,4935.0,0.73,0.77,-0.1,[Fe/H],4.4,21.5974,7.80163
761,HD 215152 d,HD 215152,1,4,Radial Velocity,2018,La Silla Observatory,10.86499,0.08799,2.801,0.0,K3 V,4935.0,0.73,0.77,-0.1,[Fe/H],4.4,21.5974,7.80163
762,HD 215152 e,HD 215152,1,4,Radial Velocity,2018,La Silla Observatory,25.1967,0.15417,2.877,0.0,K3 V,4935.0,0.73,0.77,-0.1,[Fe/H],4.4,21.5974,7.80163
776,HD 217786 b,HD 217786,2,1,Radial Velocity,2011,La Silla Observatory,1319.0,2.38,4131.62,0.4,F8 V,5966.0,1.27,1.02,-0.135,[Fe/H],4.35,55.4847,7.63573
779,HD 219077 b,HD 219077,1,1,Radial Velocity,2012,La Silla Observatory,5501.0,6.22,3302.11,0.77,G8 V,5362.0,1.91,1.05,-0.13,[Fe/H],4.0,29.1864,5.91597
784,HD 219134 g,HD 219134,1,6,Radial Velocity,2015,Multiple Observatories,94.2,0.3753,10.80622,0.0,K3 V,4913.0,0.77,0.79,0.08,[Fe/H],4.51,6.53127,5.2402
785,HD 219134 h,HD 219134,1,6,Radial Velocity,2015,Roque de los Muchachos Observatory,2247.0,3.11,108.0622,0.06,K3 V,4913.0,0.77,0.79,0.08,[Fe/H],4.51,6.53127,5.2402
786,HD 219415 b,HD 219415,1,1,Radial Velocity,2012,McDonald Observatory,2093.3,3.2,317.83,0.4,K0 III,4820.0,2.9,1.0,-0.04,[Fe/H],3.51,165.184,8.59745
797,HD 221420 b,HD 221420,1,1,Radial Velocity,2019,Anglo-Australian Telescope,10090.0,10.15,7278.27052,0.14,G2 IV-V,5847.0,1.95,1.35,0.33,[Fe/H],4.03,31.1415,5.65862
799,HD 222076 b,HD 222076,1,1,Radial Velocity,2016,Multiple Observatories,871.0,1.83,495.8148,0.08,K0 III,4806.0,4.1,1.07,0.05,[Fe/H],3.31,91.1538,7.18755
802,HD 224538 b,HD 224538,1,1,Radial Velocity,2016,Multiple Observatories,1189.1,2.28,1897.4451,0.464,F9 IV/V,6097.0,1.54,1.34,0.27,[Fe/H],4.19,79.0608,7.92192
809,HD 233604 b,HD 233604,1,1,Radial Velocity,2013,McDonald Observatory,192.0,0.747,2089.644,0.05,K5,4791.0,10.9,1.5,-0.36,[Fe/H],2.55,847.058,10.1054
814,HD 238090 b,HD 238090,1,1,Radial Velocity,2020,Multiple Observatories,13.671,0.0932,6.89,0.3,M0.0 V,3933.0,0.57,0.58,-0.03,[Fe/H],4.7,15.2354,9.037911
822,HD 25015 b,HD 25015,1,1,Radial Velocity,2019,La Silla Observatory,6019.32,6.19,1423.8784,0.39,K1 V,5160.0,0.83,0.86,0.04,[Fe/H],4.4,37.433,8.59876
824,HD 25723 b,HD 25723,1,1,Radial Velocity,2020,Lick Observatory,457.01,1.49,794.57102,0.04,K1 III,4766.0,13.76,2.12,-0.03,[Fe/H],2.5,114.816,5.31947
834,HD 27969 b,HD 27969,1,1,Radial Velocity,2021,Haute-Provence Observatory,654.5,1.552,1525.57635,0.182,G0 V,5966.0,1.27,1.16,0.18,[Fe/H],4.12,67.9328,7.5139
836,HD 28254 b,HD 28254,2,1,Radial Velocity,2010,La Silla Observatory,1116.0,2.15,368.67,0.81,G1 IV/V,5664.0,1.48,1.06,0.06,[Fe/H],4.12,55.2884,7.49977
840,HD 29021 b,HD 29021,1,1,Radial Velocity,2017,Haute-Provence Observatory,1362.3,2.28,762.792,0.459,G5,5560.0,0.85,0.85,-0.24,[Fe/H],4.44,30.9939,7.58565
842,HD 29399 b,HD 29399,1,1,Radial Velocity,2020,La Silla Observatory,892.7,1.913,498.9906,0.05,K1 III,4845.0,4.5,1.17,0.14,[Fe/H],3.25,44.1518,5.50503
847,HD 30669 b,HD 30669,1,1,Radial Velocity,2014,La Silla Observatory,1684.0,2.69,149.37,0.18,G9 V,5400.0,0.91,0.92,0.13,[Fe/H],4.37,58.0844,8.90667
855,HD 3167 d,HD 3167,1,3,Transit,2017,W. M. Keck Observatory,8.509,0.07757,6.9,0.36,K0 V,5261.0,0.86,0.86,0.04,[Fe/H],4.47,47.2899,8.76221
856,HD 32518 b,HD 32518,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,157.54,0.59,966.16,0.01,K1 III,4580.0,10.22,1.13,-0.15,[Fe/H],2.1,122.115,6.11933
862,HD 332231 b,HD 332231,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),18.71204,0.1436,77.55052,0.032,F8,6089.0,1.28,1.13,0.036,[Fe/H],4.28,80.6665,8.41839
866,HD 33844 c,HD 33844,1,2,Radial Velocity,2015,Anglo-Australian Telescope,916.0,2.24,556.2025,0.13,K0 III,4861.0,5.29,1.78,0.27,[Fe/H],3.24,105.779,7.01153
868,HD 34445 c,HD 34445,1,6,Radial Velocity,2017,Multiple Observatories,214.67,0.7181,53.5,0.036,G0 V,5836.0,1.38,1.07,0.14,[Fe/H],4.21,46.0907,7.14947
869,HD 34445 d,HD 34445,1,6,Radial Velocity,2017,Multiple Observatories,117.87,0.4817,30.7,0.027,G0 V,5836.0,1.38,1.07,0.14,[Fe/H],4.21,46.0907,7.14947
870,HD 34445 e,HD 34445,1,6,Radial Velocity,2017,Multiple Observatories,49.175,0.2687,16.8,0.09,G0 V,5836.0,1.38,1.07,0.14,[Fe/H],4.21,46.0907,7.14947
871,HD 34445 f,HD 34445,1,6,Radial Velocity,2017,Multiple Observatories,676.8,1.543,37.9,0.031,G0 V,5836.0,1.38,1.07,0.14,[Fe/H],4.21,46.0907,7.14947
872,HD 34445 g,HD 34445,1,6,Radial Velocity,2017,Multiple Observatories,5700.0,6.36,120.6,0.032,G0 V,5836.0,1.38,1.07,0.14,[Fe/H],4.21,46.0907,7.14947
885,HD 39091 b,HD 39091,1,2,Radial Velocity,2001,Anglo-Australian Telescope,2093.07,3.1,3184.6566,0.637,G0 V,6037.0,1.1,1.09,0.08,[Fe/H],4.42,18.2702,5.5128
900,HD 42012 b,HD 42012,1,1,Radial Velocity,2017,Haute-Provence Observatory,857.5,1.67,508.528,0.2,K0,5405.0,0.82,0.83,-0.09,[Fe/H],4.45,36.7984,8.22949
904,HD 42618 b,HD 42618,1,1,Radial Velocity,2016,Multiple Observatories,149.61,0.554,14.4,0.19,G4 V,5727.0,1.0,1.01,-0.09,[Fe/H],4.44,24.3358,6.68303
907,HD 43197 b,HD 43197,1,1,Radial Velocity,2010,La Silla Observatory,327.8,0.92,190.69,0.83,G8 V,5508.0,1.0,0.96,0.4,[Fe/H],4.31,62.4112,8.77158
909,HD 44219 b,HD 44219,1,1,Radial Velocity,2010,La Silla Observatory,472.3,1.19,184.33,0.61,G2 V,5752.0,1.32,1.0,0.03,[Fe/H],4.21,52.9051,7.52973
919,HD 4732 b,HD 4732,2,2,Radial Velocity,2012,Multiple Observatories,360.2,1.19,753.23,0.13,K0 IV,4959.0,5.4,1.74,0.01,[Fe/H],3.16,54.7841,5.6509
920,HD 4732 c,HD 4732,2,2,Radial Velocity,2012,Multiple Observatories,2732.0,4.6,753.23,0.23,K0 IV,4959.0,5.4,1.74,0.01,[Fe/H],3.16,54.7841,5.6509
929,HD 50499 c,HD 50499,1,2,Radial Velocity,2019,La Silla Observatory,8619.9,9.02,931.2419,0.0,G1 V,6099.0,1.42,1.31,0.38,[Fe/H],4.42,46.2845,7.0564
934,HD 5278 b,HD 5278,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),14.339156,0.1202,7.8,0.08,F V,6203.0,1.19,1.13,-0.12,[Fe/H],4.5,57.5846,7.80375
935,HD 5278 c,HD 5278,1,2,Radial Velocity,2021,Paranal Observatory,40.87,0.2416,18.4,0.07,F V,6203.0,1.19,1.13,-0.12,[Fe/H],4.5,57.5846,7.80375
941,HD 564 b,HD 564,1,1,Radial Velocity,2014,La Silla Observatory,492.3,1.2,104.88,0.096,G2/G3 V,5902.0,1.01,0.96,-0.2,[Fe/H],4.53,51.1659,8.17077
943,HD 59686 A b,HD 59686 A,2,1,Radial Velocity,2016,Lick Observatory,299.36,1.086,2199.3836,0.05,K2 III,4658.0,13.2,1.9,0.15,[Fe/H],2.49,89.2721,5.13228
944,HD 60292 b,HD 60292,1,1,Radial Velocity,2020,Bohyunsan Optical Astronomical Observatory,495.4,1.5,2065.895,0.27,K0 III,4348.0,27.0,1.7,-0.17,[Fe/H],1.9,315.211,6.53238
958,HD 66141 b,HD 66141,1,1,Radial Velocity,2012,Bohyunsan Optical Astronomical Observatory,480.5,1.2,1906.9,0.07,K2 III,4323.0,21.4,1.1,-0.323,[Fe/H],1.78,68.1509,3.97926
961,HD 67087 b,HD 67087,1,2,Radial Velocity,2015,Multiple Observatories,352.2,1.08,973.0,0.17,F8 V,6330.0,1.55,1.36,0.25,[Fe/H],4.19,76.5217,7.92235
962,HD 67087 c,HD 67087,1,2,Radial Velocity,2015,Multiple Observatories,2374.0,3.86,1540.0,0.76,F8 V,6330.0,1.55,1.36,0.25,[Fe/H],4.19,76.5217,7.92235
964,HD 68402 b,HD 68402,1,1,Radial Velocity,2016,Multiple Observatories,1103.0,2.18,975.7381,0.03,G5 IV/V,5950.0,1.02,1.12,0.29,[Fe/H],4.47,78.4293,8.95443
975,HD 72892 b,HD 72892,1,1,Radial Velocity,2016,Multiple Observatories,39.475,0.228,1732.1735,0.423,G5 V,5688.0,1.22,1.02,0.25,[Fe/H],4.27,69.7311,8.6469
988,HD 76920 b,HD 76920,1,1,Radial Velocity,2017,Multiple Observatories,415.4,1.149,1249.0719,0.856,K1 III,4698.0,7.47,1.17,-0.11,[Fe/H],2.94,184.031,7.5144
991,HD 7924 c,HD 7924,1,3,Radial Velocity,2015,W. M. Keck Observatory,15.299,0.1134,7.86,0.098,K0.5 V,5075.0,0.78,0.83,-0.15,[Fe/H],4.59,16.9922,6.92516
992,HD 7924 d,HD 7924,1,3,Radial Velocity,2015,W. M. Keck Observatory,24.451,0.1551,6.44,0.21,K0.5 V,5075.0,0.78,0.83,-0.15,[Fe/H],4.59,16.9922,6.92516
996,HD 80869 b,HD 80869,1,1,Radial Velocity,2021,Haute-Provence Observatory,1711.7,2.878,1544.64606,0.862,G1 V,5837.0,1.06,1.08,0.17,[Fe/H],4.18,85.3951,8.33173
999,HD 81817 b,HD 81817,1,1,Radial Velocity,2020,Bohyunsan Optical Astronomical Observatory,1047.1,3.3,8613.193,0.17,K3 III,4140.0,83.8,4.3,-0.17,[Fe/H],1.3,269.126,3.80122
1005,HD 8535 b,HD 8535,2,1,Radial Velocity,2010,La Silla Observatory,1313.0,2.45,216.1244,0.15,G0 V,6136.0,1.19,1.13,0.06,[Fe/H],4.46,55.4401,7.56066
1010,HD 86226 b,HD 86226,1,2,Radial Velocity,2009,Las Campanas Observatory,1628.0,2.73,143.0235,0.059,G1 V,5863.0,1.05,1.02,0.018,[Fe/H],4.4,45.683,7.7713
1011,HD 86226 c,HD 86226,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),3.98442,0.049,7.25,0.075,G1 V,5863.0,1.05,1.02,0.018,[Fe/H],4.4,45.683,7.7713
1014,HD 86950 b,HD 86950,1,1,Radial Velocity,2016,Multiple Observatories,1270.0,2.72,1144.188,0.17,K1 III,4805.0,8.8,1.66,0.04,[Fe/H],2.66,209.839,7.17997
1015,HD 87646 b,HD 87646,3,1,Radial Velocity,2016,Apache Point Observatory,13.481,0.117,3941.092,0.05,G,5770.0,1.55,1.12,-0.17,[Fe/H],4.1,73.58352,7.9295
1022,HD 9174 b,HD 9174,1,1,Radial Velocity,2016,Multiple Observatories,1179.0,2.2,352.7913,0.12,G8 IV,5577.0,1.67,1.03,0.39,[Fe/H],4.03,81.4893,8.22923
1023,HD 92788 b,HD 92788,1,2,Radial Velocity,2000,Multiple Observatories,325.803,0.97,1195.0408,0.35,G6 V,5744.0,1.14,1.15,0.27,[Fe/H],4.39,34.6538,7.13929
1024,HD 92788 c,HD 92788,1,2,Radial Velocity,2019,La Silla Observatory,11611.2975,10.5,1166.4361,0.46,G6 V,5744.0,1.14,1.15,0.27,[Fe/H],4.39,34.6538,7.13929
1025,HD 92987 b,HD 92987,1,1,Radial Velocity,2019,La Silla Observatory,10354.8375,9.62,5364.9704,0.21,G2/G3 V,5770.0,1.58,1.08,-0.08,[Fe/H],4.0,43.5339,6.85987
1030,HD 9446 b,HD 9446,1,2,Radial Velocity,2009,Haute-Provence Observatory,30.052,0.189,222.472,0.2,G5 V,5793.0,1.0,1.0,0.09,[Fe/H],4.53,50.3503,8.2095
1031,HD 9446 c,HD 9446,1,2,Radial Velocity,2009,Haute-Provence Observatory,192.9,0.654,578.426,0.06,G5 V,5793.0,1.0,1.0,0.09,[Fe/H],4.53,50.3503,8.2095
1037,HD 95338 b,HD 95338,1,1,Radial Velocity,2020,Las Campanas Observatory,55.087,0.262,42.44,0.197,K0.5 V,5212.0,0.87,0.83,0.04,[Fe/H],4.54,36.9941,8.38213
1038,HD 95544 b,HD 95544,1,1,Radial Velocity,2021,Haute-Provence Observatory,2172.0,3.386,2173.9463,0.043,G3 V,5722.0,1.09,1.09,0.11,[Fe/H],4.07,87.8049,8.210671
1051,HD 98649 b,HD 98649,1,1,Radial Velocity,2012,La Silla Observatory,6022.9725,6.57,2158.0657,0.86,G3/G5 V,5790.0,1.01,1.03,0.05,[Fe/H],4.51,42.1727,7.82889
1059,HIP 107773 b,HIP 107773,1,1,Radial Velocity,2015,Multiple Observatories,144.3,0.72,629.3034,0.09,K1 III,4945.0,11.6,2.42,0.03,[Fe/H],2.6,105.18,5.36073
1062,HIP 114933 b,HIP 114933,1,1,Radial Velocity,2021,Multiple Observatories,1481.6,2.84,616.58711,0.21,K0 III,4823.0,5.27,1.39,0.06,[Fe/H],2.99,101.766,6.97658
1082,HIP 56640 b,HIP 56640,1,1,Radial Velocity,2021,Multiple Observatories,2574.9,3.73,1166.43025,0.12,K1 III,4769.0,4.93,1.04,-0.03,[Fe/H],2.91,122.324,7.64993
1084,HIP 57274 c,HIP 57274,1,3,Radial Velocity,2011,W. M. Keck Observatory,32.03,0.178,130.0,0.05,K4 V,4640.0,0.68,0.73,0.09,[Fe/H],4.71,25.8618,8.57069
1085,HIP 57274 d,HIP 57274,1,3,Radial Velocity,2011,W. M. Keck Observatory,431.7,1.01,167.4,0.27,K4 V,4640.0,0.68,0.73,0.09,[Fe/H],4.71,25.8618,8.57069
1087,HIP 65 A b,HIP 65 A,2,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.9809734,0.01782,1021.18779,0.0,K4 V,4590.0,0.72,0.78,0.18,[Fe/H],4.61,61.7856,10.5895
1091,HIP 65891 b,HIP 65891,1,1,Radial Velocity,2015,Multiple Observatories,1084.5,2.81,1906.98,0.13,K0 III,5000.0,8.93,2.5,0.16,[Fe/H],2.9,150.292,6.48224
1093,HIP 67537 b,HIP 67537,1,1,Radial Velocity,2017,Multiple Observatories,2556.5,4.91,3527.913,0.59,K1 III,4985.0,8.69,2.41,0.15,[Fe/H],2.85,116.046,6.17087
1094,HIP 67851 b,HIP 67851,1,2,Radial Velocity,2015,Multiple Observatories,88.9,0.46,438.6054,0.05,K0 III,4890.0,5.92,1.63,0.0,[Fe/H],3.15,64.1181,5.89329
1095,HIP 67851 c,HIP 67851,1,2,Radial Velocity,2015,Multiple Observatories,2131.8,3.82,1900.6234,0.17,K0 III,4890.0,5.92,1.63,0.0,[Fe/H],3.15,64.1181,5.89329
1098,HIP 74890 b,HIP 74890,1,1,Radial Velocity,2016,Multiple Observatories,822.3,2.1,762.792,0.07,K1 III,4850.0,5.77,1.74,0.2,[Fe/H],3.1,78.6562,6.75234
1099,HIP 75092 b,HIP 75092,1,1,Radial Velocity,2021,Multiple Observatories,926.4,2.02,568.91285,0.42,K0 III,4891.0,4.53,1.28,-0.01,[Fe/H],3.09,81.6696,6.82953
1103,HIP 8541 b,HIP 8541,2,1,Radial Velocity,2016,Multiple Observatories,1560.2,2.8,1748.065,0.16,K2 III/IV,4670.0,7.83,1.17,-0.15,[Fe/H],2.7,155.121,7.56075
1104,HIP 90988 b,HIP 90988,1,1,Radial Velocity,2021,Multiple Observatories,453.9,1.26,622.94368,0.08,K1 III,4883.0,3.94,1.3,0.17,[Fe/H],3.32,94.0349,7.46648
1106,HIP 97166 b,HIP 97166,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),10.28891,0.089,20.0,0.16,K0 V,5198.0,0.84,0.9,0.27,[Fe/H],4.41,65.9501,9.68443
1107,HIP 97166 c,HIP 97166,1,2,Radial Velocity,2021,Multiple Observatories,16.84,0.124,9.9,0.25,K0 V,5198.0,0.84,0.9,0.27,[Fe/H],4.41,65.9501,9.68443
1108,HIP 97233 b,HIP 97233,1,1,Radial Velocity,2014,Multiple Observatories,1058.8,2.55,6356.3,0.61,K0,5020.0,5.34,1.93,0.29,[Fe/H],3.26,102.275,7.07025
1125,K2-100 b,K2-100,1,1,Transit,2016,K2,1.6739035,0.0301,21.8,0.0,G0 V,5945.0,1.24,1.15,0.22,[Fe/H],4.33,188.959,10.4053
1134,K2-111 b,K2-111,1,2,Transit,2017,K2,5.3518,0.057,5.29,0.13,G2,5775.0,1.25,0.84,-0.46,[Fe/H],4.25,200.394,10.9294
1135,K2-111 c,K2-111,1,2,Radial Velocity,2020,Multiple Observatories,15.6785,0.1166,11.3,0.07,G2,5775.0,1.25,0.84,-0.46,[Fe/H],4.25,200.394,10.9294
1166,K2-137 b,K2-137,1,1,Transit,2017,K2,0.179715,0.0058,158.915,0.0,M3 V,3492.0,0.44,0.46,0.08,[Fe/H],4.82,98.8765,14.4345
1175,K2-140 b,K2-140,1,1,Transit,2017,K2,6.569188,0.068,295.58042,0.0,G6 V,5585.0,1.06,0.96,0.1,[Fe/H],4.4,347.917,12.4814
1284,K2-216 b,K2-216,1,1,Transit,2018,K2,2.1748,0.028,8.0,0.0,K5 V,4503.0,0.72,0.7,0.0,[Fe/H],4.57,115.461,12.0576
1310,K2-237 b,K2-237,1,1,Transit,2018,K2,2.1805577,0.0353,392.83788,0.0,F9 V,6099.0,1.38,1.23,0.0,[Fe/H],4.27,314.995,11.4668
1311,K2-238 b,K2-238,1,1,Transit,2018,K2,3.20466,0.046,273.3338,0.0,G2 V,5630.0,1.59,1.19,0.34,[Fe/H],4.11,537.963,13.6635
1343,K2-260 b,K2-260,1,1,Transit,2018,K2,2.6266657,0.0404,451.3186,0.0,F6 V,6367.0,1.69,1.39,-0.14,[Fe/H],4.15,663.834,12.4667
1344,K2-261 b,K2-261,1,1,Transit,2018,K2,11.63344,0.102,70.87609,0.39,G7 IV/V,5537.0,1.65,1.1,0.36,[Fe/H],4.21,213.283,10.4594
1345,K2-263 b,K2-263,1,1,Transit,2018,K2,50.818947,0.2573,14.8,0.14,G9 V,5368.0,0.85,0.88,-0.08,[m/H],4.51,162.481,11.4055
1348,K2-265 b,K2-265,2,1,Transit,2018,K2,2.369172,0.03376,6.54,0.084,G8 V,5477.0,0.98,0.92,0.078,[Fe/H],4.42,138.671,10.9277
1378,K2-285 b,K2-285,1,4,Transit,2018,K2,3.471745,0.03817,9.68,0.0,K2 V,4975.0,0.79,0.83,0.0,[Fe/H],4.4,154.961,11.804
1379,K2-285 c,K2-285,1,4,Transit,2018,K2,7.138048,0.0824,15.68,0.0,K2 V,4975.0,0.79,0.83,0.0,[Fe/H],4.4,154.961,11.804
1380,K2-285 d,K2-285,1,4,Transit,2018,K2,10.45582,0.1178,6.5,0.0,K2 V,4975.0,0.79,0.83,0.0,[Fe/H],4.4,154.961,11.804
1381,K2-285 e,K2-285,1,4,Transit,2018,K2,14.76289,0.18041,10.7,0.0,K2 V,4975.0,0.79,0.83,0.0,[Fe/H],4.4,154.961,11.804
1386,K2-29 b,K2-29,2,1,Transit,2016,K2,3.2588321,0.04217,232.0159,0.066,G7 V,5358.0,0.86,0.94,0.16,[Fe/H],4.54,178.475,12.2008
1390,K2-292 b,K2-292,1,1,Transit,2019,K2,16.9841,0.13,24.5,0.04,G3 V,5725.0,1.09,1.0,0.07,[Fe/H],4.33,114.293,9.75597
1393,K2-295 b,K2-295,1,1,Transit,2018,K2,4.024867,0.0451,106.47305,0.0,K5 V,4444.0,0.7,0.74,0.14,[Fe/H],4.63,232.801,13.5184
1397,K2-30 b,K2-30,1,1,Transit,2016,K2,4.098503,0.04839,184.02357,0.0,G6 V,5425.0,0.84,0.9,-0.15,[Fe/H],4.54,333.042,13.2056
1399,K2-31 b,K2-31,2,1,Transit,2016,K2,1.25785,0.022,563.83042,0.0,G7 V,5280.0,0.78,0.91,0.08,[Fe/H],4.6,110.527,10.5371
1489,K2-60 b,K2-60,1,1,Transit,2016,K2,3.00265,0.045,135.39558,0.0,G4 V,5500.0,1.12,0.97,0.01,[Fe/H],4.07,491.87,12.6108
1540,KELT-14 b,KELT-14,1,1,Transit,2016,KELT-South,1.7100566,0.03005,408.09372,0.0,G4,5720.0,1.52,1.24,0.32,[Fe/H],4.17,250.121,10.8384
1542,KELT-16 b,KELT-16,2,1,Transit,2017,KELT,0.9689951,0.02044,874.0325,0.0,F7 V,6236.0,1.36,1.21,-0.002,[Fe/H],4.25,444.586,11.7959
1544,KELT-18 b,KELT-18,2,1,Transit,2017,KELT-North,2.8717518,0.0455,375.0394,0.0,F4 V,6670.0,1.91,1.52,0.09,[Fe/H],4.06,321.376,10.1036
1548,KELT-21 b,KELT-21,1,1,Transit,2018,KELT-North,3.6127647,0.05224,1242.7153,0.0,A8 V,7598.0,1.64,1.46,-0.405,[Fe/H],4.17,470.878,10.5415
1549,KELT-23 A b,KELT-23 A,2,1,Transit,2019,KELT-North,2.255251,0.03302,298.12454,0.0,G2 V,5899.0,1.0,0.94,-0.105,[Fe/H],4.42,126.261,10.182
1552,KELT-4 A b,KELT-4 A,3,1,Transit,2016,KELT,2.9895932,0.04317,286.68266,0.0,F,6206.0,1.6,1.2,-0.116,[Fe/H],4.11,218.05,9.95702
1557,KELT-9 b,KELT-9,2,1,Transit,2017,KELT-North,1.4811235,0.03462,915.3504,0.0,B9.5-A0,10170.0,2.36,2.52,-0.03,[Fe/H],4.09,204.455,7.57675
1626,KPS-1 b,KPS-1,1,1,Transit,2018,Acton Sky Portal Observatory,1.706291,0.0269,346.4347,0.0,K1 V,5165.0,0.91,0.89,0.22,[Fe/H],4.47,262.706,12.7933
1644,Kepler-101 b,Kepler-101,1,2,Transit,2014,Kepler,3.4876812,0.0474,51.1,0.086,G3 IV,5667.0,1.56,1.17,0.33,[Fe/H],4.12,927.981,13.5672
1645,Kepler-101 c,Kepler-101,1,2,Transit,2014,Kepler,6.02976,0.0684,3.78,0.0,G3 IV,5667.0,1.56,1.17,0.33,[Fe/H],4.12,927.981,13.5672
1862,Kepler-117 b,Kepler-117,1,2,Transit,2014,Kepler,18.7959228,0.1445,29.875,0.0493,F8 V,6150.0,1.61,1.13,-0.04,[Fe/H],4.1,1455.57,14.2472
1863,Kepler-117 c,Kepler-117,1,2,Transit,2014,Kepler,50.790391,0.2804,584.78,0.0323,F8 V,6150.0,1.61,1.13,-0.04,[Fe/H],4.1,1455.57,14.2472
2494,Kepler-1654 b,Kepler-1654,1,1,Transit,2018,Kepler,1047.8356,2.026,158.915,0.26,G5 V,5597.0,1.18,1.01,-0.088,[Fe/H],4.3,568.117,13.4057
2501,Kepler-1661 b,Kepler-1661,2,1,Transit,2020,Kepler,175.06,0.633,17.0,0.057,K,5100.0,0.76,0.84,-0.12,[M/H],4.66,410.607,14.1933
2696,Kepler-22 b,Kepler-22,1,1,Transit,2011,Kepler,289.8623,0.849,36.0,0.0,G5 V,5518.0,0.98,0.97,-0.29,[Fe/H],4.44,194.642,11.6444
3147,Kepler-38 b,Kepler-38,2,1,Transit,2012,Kepler,105.599,0.4632,122.0,0.032,G4 V,5623.0,1.75,0.94,-0.11,[m/H],3.93,1174.59,13.9066
